title,City,full_address,rank_in_city,total_in_rank_list,overall_rating,count_of_reviews,Excellet_count,VGood_count,Average_count,Poor_count,Terrible_count,full_link,link,rank_quartile,Room Count
Austin Motor Inn,Austin,"11400 N Ih 35, Austin, TX 78753-2716",184,205,1.5,3,0,0,1,0,2,https://www.tripadvisor.com/Hotel_Review-g30196-d288742-Reviews-Austin_Motor_Inn-Austin_Texas.html,https://www.tripadvisor.com/Hotel_Review-g30196-d288742-Reviews-Austin_Motor_Inn-Austin_Texas.html,4,5
Rodeway Inn,Austin,"2711 S Interstate 35, Austin, TX 78741-5514",185,205,2,393,19,43,73,96,144,https://www.tripadvisor.com/Hotel_Review-g30196-d98424-Reviews-Rodeway_Inn-Austin_Texas.html,https://www.tripadvisor.com/Hotel_Review-g30196-d98424-Reviews-Rodeway_Inn-Austin_Texas.html,4,89
Studio 6 Austin Northwest,Austin,"11901 Pavilion Blvd, Austin, TX 78759-2331",186,205,2,19,1,1,2,5,10,https://www.tripadvisor.com/Hotel_Review-g30196-d239891-Reviews-Studio_6_Austin_Northwest-Austin_Texas.html,https://www.tripadvisor.com/Hotel_Review-g30196-d239891-Reviews-Studio_6_Austin_Northwest-Austin_Texas.html,4,134
Americas Best Value Inn-Austin South,Austin,"2915 IH-35 South, Austin, TX 78741-5519",187,205,2,26,1,3,3,5,13,https://www.tripadvisor.com/Hotel_Review-g30196-d108974-Reviews-Americas_Best_Value_Inn_Austin_South-Austin_Texas.html,https://www.tripadvisor.com/Hotel_Review-g30196-d108974-Reviews-Americas_Best_Value_Inn_Austin_South-Austin_Texas.html,4,58
Austin Suites Hotel,Austin,"8300 N Interstate 35, Austin, TX 78753-6437",188,205,2,14,2,3,0,0,9,https://www.tripadvisor.com/Hotel_Review-g30196-d98447-Reviews-Austin_Suites_Hotel-Austin_Texas.html,https://www.tripadvisor.com/Hotel_Review-g30196-d98447-Reviews-Austin_Suites_Hotel-Austin_Texas.html,4,141
Heart of Texas Motel,Austin,"5303 US 290 West, Austin, TX 78735",189,205,2.5,20,2,1,7,2,7,https://www.tripadvisor.com/Hotel_Review-g30196-d291287-Reviews-Heart_of_Texas_Motel-Austin_Texas.html,https://www.tripadvisor.com/Hotel_Review-g30196-d291287-Reviews-Heart_of_Texas_Motel-Austin_Texas.html,4,30
Hawthorn Suites - Austin South,Austin,"4020 South I-35, Austin, TX 78704",190,205,3,4,2,0,0,0,2,https://www.tripadvisor.com/Hotel_Review-g30196-d108994-Reviews-Hawthorn_Suites_Austin_South-Austin_Texas.html,https://www.tripadvisor.com/Hotel_Review-g30196-d108994-Reviews-Hawthorn_Suites_Austin_South-Austin_Texas.html,4,120
InTown Suites Plus,Austin,"12989 N Highway 183, Austin, TX 78750-3204",191,205,1.5,21,1,0,1,3,14,https://www.tripadvisor.com/Hotel_Review-g30196-d223684-Reviews-InTown_Suites_Plus-Austin_Texas.html,https://www.tripadvisor.com/Hotel_Review-g30196-d223684-Reviews-InTown_Suites_Plus-Austin_Texas.html,4,150
Walnut Forest Motel,Austin,"11506 North IH 35, Austin, TX 78753-2717",192,205,1.5,4,0,0,1,0,3,https://www.tripadvisor.com/Hotel_Review-g30196-d220077-Reviews-Walnut_Forest_Motel-Austin_Texas.html,https://www.tripadvisor.com/Hotel_Review-g30196-d220077-Reviews-Walnut_Forest_Motel-Austin_Texas.html,4,20
Econo Lodge,Austin,"6201 E Highway 290, Austin, TX 78723-1025",193,205,1,11,0,0,0,1,9,https://www.tripadvisor.com/Hotel_Review-g30196-d108998-Reviews-Econo_Lodge-Austin_Texas.html,https://www.tripadvisor.com/Hotel_Review-g30196-d108998-Reviews-Econo_Lodge-Austin_Texas.html,4,48
Western Hills Motel,Austin,"6854 W Highway 290, Austin, TX 78735",194,205,1,1,0,0,0,0,1,https://www.tripadvisor.com/Hotel_Review-g30196-d291291-Reviews-Western_Hills_Motel-Austin_Texas.html,https://www.tripadvisor.com/Hotel_Review-g30196-d291291-Reviews-Western_Hills_Motel-Austin_Texas.html,4,25
Sands Motel of Austin,Austin,"4710 Hwy 290 W, Austin, TX 78745",195,205,1,2,0,0,0,0,2,https://www.tripadvisor.com/Hotel_Review-g30196-d291290-Reviews-Sands_Motel_of_Austin-Austin_Texas.html,https://www.tripadvisor.com/Hotel_Review-g30196-d291290-Reviews-Sands_Motel_of_Austin-Austin_Texas.html,4,20
American Inn,Austin,"7300 North I-35, Austin, TX 78752",196,205,1,2,0,0,0,0,2,https://www.tripadvisor.com/Hotel_Review-g30196-d98405-Reviews-American_Inn-Austin_Texas.html,https://www.tripadvisor.com/Hotel_Review-g30196-d98405-Reviews-American_Inn-Austin_Texas.html,4,104
Village Motor Inn,Austin,"3012 S Congress Ave, Austin, TX 78704-6426",197,205,1,1,0,0,0,0,1,https://www.tripadvisor.com/Hotel_Review-g30196-d288728-Reviews-Village_Motor_Inn-Austin_Texas.html,https://www.tripadvisor.com/Hotel_Review-g30196-d288728-Reviews-Village_Motor_Inn-Austin_Texas.html,4,39
Avalon Hotel Beverly Hills,BeverlyHills,"9400 W Olympic Blvd, Beverly Hills, CA 90212-4552",10,15,4,945,391,237,108,48,40,https://www.tripadvisor.com/Hotel_Review-g32070-d113239-Reviews-Avalon_Hotel_Beverly_Hills-Beverly_Hills_California.html,https://www.tripadvisor.com/Hotel_Review-g32070-d113239-Reviews-Avalon_Hotel_Beverly_Hills-Beverly_Hills_California.html,3,84
Mosaic Hotel Beverly Hills,BeverlyHills,"125 S Spalding Dr, Beverly Hills, CA 90212-1806",11,15,4.5,710,438,146,45,25,19,https://www.tripadvisor.com/Hotel_Review-g32070-d265934-Reviews-Mosaic_Hotel_Beverly_Hills-Beverly_Hills_California.html,https://www.tripadvisor.com/Hotel_Review-g32070-d265934-Reviews-Mosaic_Hotel_Beverly_Hills-Beverly_Hills_California.html,3,49
Montage Beverly Hills,BeverlyHills,"225 N Canon Dr, Beverly Hills, CA 90210-5301",12,15,4.5,730,530,91,30,12,27,https://www.tripadvisor.com/Hotel_Review-g32070-d1088060-Reviews-Montage_Beverly_Hills-Beverly_Hills_California.html,https://www.tripadvisor.com/Hotel_Review-g32070-d1088060-Reviews-Montage_Beverly_Hills-Beverly_Hills_California.html,3,201
Crescent Hotel Beverly Hills,BeverlyHills,"403 N Crescent Dr, Beverly Hills, CA 90210",14,15,4,444,171,116,40,25,29,https://www.tripadvisor.com/Hotel_Review-g32070-d113210-Reviews-Crescent_Hotel_Beverly_Hills-Beverly_Hills_California.html,https://www.tripadvisor.com/Hotel_Review-g32070-d113210-Reviews-Crescent_Hotel_Beverly_Hills-Beverly_Hills_California.html,4,38
Maison 140 Beverly Hills,BeverlyHills,"140 S Lasky Dr, Beverly Hills, CA 90212-1704",15,15,4,503,183,148,62,41,24,https://www.tripadvisor.com/Hotel_Review-g32070-d151938-Reviews-Maison_140_Beverly_Hills-Beverly_Hills_California.html,https://www.tripadvisor.com/Hotel_Review-g32070-d151938-Reviews-Maison_140_Beverly_Hills-Beverly_Hills_California.html,4,44
Holiday Inn Express Boston,Boston,"69R Boston Street, Boston, MA 02125-1129",68,86,4,845,193,314,110,38,32,https://www.tripadvisor.com/Hotel_Review-g60745-d121009-Reviews-Holiday_Inn_Express_Boston-Boston_Massachusetts.html,https://www.tripadvisor.com/Hotel_Review-g60745-d121009-Reviews-Holiday_Inn_Express_Boston-Boston_Massachusetts.html,3,118
Charlesmark Hotel,Boston,"655 Boylston St, Boston, MA 02116-2804",69,86,4,973,377,333,77,42,22,https://www.tripadvisor.com/Hotel_Review-g60745-d225873-Reviews-Charlesmark_Hotel-Boston_Massachusetts.html,https://www.tripadvisor.com/Hotel_Review-g60745-d225873-Reviews-Charlesmark_Hotel-Boston_Massachusetts.html,3,40
Beacon Hill Hotel and Bistro,Boston,"25 Charles Street, Boston, MA 02114",70,86,4,237,109,69,20,14,6,https://www.tripadvisor.com/Hotel_Review-g60745-d220216-Reviews-Beacon_Hill_Hotel_and_Bistro-Boston_Massachusetts.html,https://www.tripadvisor.com/Hotel_Review-g60745-d220216-Reviews-Beacon_Hill_Hotel_and_Bistro-Boston_Massachusetts.html,3,13
Courtyard by Marriott Boston Logan Airport,Boston,"225 William F. McClellan Highway, Boston, MA 02128",71,86,3.5,781,178,306,170,59,37,https://www.tripadvisor.com/Hotel_Review-g60745-d94363-Reviews-Courtyard_by_Marriott_Boston_Logan_Airport-Boston_Massachusetts.html,https://www.tripadvisor.com/Hotel_Review-g60745-d94363-Reviews-Courtyard_by_Marriott_Boston_Logan_Airport-Boston_Massachusetts.html,3,351
Courtyard Boston-South Boston,Boston,"63R Bolton St, Boston, MA 02127-1105",73,86,4,552,140,238,82,35,20,https://www.tripadvisor.com/Hotel_Review-g60745-d555224-Reviews-Courtyard_Boston_South_Boston-Boston_Massachusetts.html,https://www.tripadvisor.com/Hotel_Review-g60745-d555224-Reviews-Courtyard_Boston_South_Boston-Boston_Massachusetts.html,3,164
Holiday Inn Express Hotel & Suites Boston Garden,Boston,"280 Friend St, Boston, MA 02114-1801",75,86,3.5,545,143,192,98,42,34,https://www.tripadvisor.com/Hotel_Review-g60745-d1138709-Reviews-Holiday_Inn_Express_Hotel_Suites_Boston_Garden-Boston_Massachusetts.html,https://www.tripadvisor.com/Hotel_Review-g60745-d1138709-Reviews-Holiday_Inn_Express_Hotel_Suites_Boston_Garden-Boston_Massachusetts.html,3,72
Hotel Boston,Boston,"1650 Commonwealth Ave, Boston, MA 02135-5604",76,86,3.5,575,134,193,109,57,35,https://www.tripadvisor.com/Hotel_Review-g60745-d77629-Reviews-Hotel_Boston-Boston_Massachusetts.html,https://www.tripadvisor.com/Hotel_Review-g60745-d77629-Reviews-Hotel_Boston-Boston_Massachusetts.html,3,74
Comfort Inn - Boston,Boston,"900 William T Morrissey Blvd, Boston, MA 02122-3329",77,86,3.5,298,60,85,63,25,25,https://www.tripadvisor.com/Hotel_Review-g60745-d222958-Reviews-Comfort_Inn_Boston-Boston_Massachusetts.html,https://www.tripadvisor.com/Hotel_Review-g60745-d222958-Reviews-Comfort_Inn_Boston-Boston_Massachusetts.html,4,132
Ramada Boston,Boston,"800 William T Morrissey Blvd, Boston, MA 02125",78,86,3,567,82,142,144,75,67,https://www.tripadvisor.com/Hotel_Review-g60745-d217148-Reviews-Ramada_Boston-Boston_Massachusetts.html,https://www.tripadvisor.com/Hotel_Review-g60745-d217148-Reviews-Ramada_Boston-Boston_Massachusetts.html,4,174
Found Hotel Boston Common,Boston,"78 Charles St S, Boston, MA 02116-5443",79,86,3,102,10,18,17,10,11,https://www.tripadvisor.com/Hotel_Review-g60745-d89592-Reviews-Found_Hotel_Boston_Common-Boston_Massachusetts.html,https://www.tripadvisor.com/Hotel_Review-g60745-d89592-Reviews-Found_Hotel_Boston_Common-Boston_Massachusetts.html,4,64
The Boston Common Hotel and Conference Center,Boston,"40 Trinity Pl, Boston, MA 02116-5006",80,86,3,824,62,216,218,108,71,https://www.tripadvisor.com/Hotel_Review-g60745-d268206-Reviews-The_Boston_Common_Hotel_and_Conference_Center-Boston_Massachusetts.html,https://www.tripadvisor.com/Hotel_Review-g60745-d268206-Reviews-The_Boston_Common_Hotel_and_Conference_Center-Boston_Massachusetts.html,4,64
Days Hotel Boston-Harvard Fenway,Boston,"1234 Soldiers Field Rd, Boston, MA 02135-1002",81,86,3,383,33,68,114,91,63,https://www.tripadvisor.com/Hotel_Review-g60745-d217000-Reviews-Days_Hotel_Boston_Harvard_Fenway-Boston_Massachusetts.html,https://www.tripadvisor.com/Hotel_Review-g60745-d217000-Reviews-Days_Hotel_Boston_Harvard_Fenway-Boston_Massachusetts.html,4,117
Constitution Inn,Boston,"150 3rd Ave, Boston, MA 02129-2016",82,86,3,787,80,175,164,116,109,https://www.tripadvisor.com/Hotel_Review-g60745-d126058-Reviews-Constitution_Inn-Boston_Massachusetts.html,https://www.tripadvisor.com/Hotel_Review-g60745-d126058-Reviews-Constitution_Inn-Boston_Massachusetts.html,4,147
Charles River Inn,Boston,"1800 Soldiers Field Rd, Boston, MA 02135-1113",83,86,2.5,56,3,8,21,2,12,https://www.tripadvisor.com/Hotel_Review-g60745-d216999-Reviews-Charles_River_Inn-Boston_Massachusetts.html,https://www.tripadvisor.com/Hotel_Review-g60745-d216999-Reviews-Charles_River_Inn-Boston_Massachusetts.html,4,55
A Room at the Top,Cambridge,"51 Avon Hill St, Cambridge, MA 02140-3609",12,NA,5,4,2,1,0,0,0,https://www.tripadvisor.com/Hotel_Review-g60890-d1207113-Reviews-A_Room_at_the_Top-Cambridge_Massachusetts.html,https://www.tripadvisor.com/Hotel_Review-g60890-d1207113-Reviews-A_Room_at_the_Top-Cambridge_Massachusetts.html,3,1
Sheraton Commander Hotel,Cambridge,"16 Garden St, Cambridge, MA 02138-3604",12,19,4,239,83,99,27,6,3,https://www.tripadvisor.com/Hotel_Review-g60890-d89645-Reviews-Sheraton_Commander_Hotel-Cambridge_Massachusetts.html,https://www.tripadvisor.com/Hotel_Review-g60890-d89645-Reviews-Sheraton_Commander_Hotel-Cambridge_Massachusetts.html,3,175
Gray House Cambridge Accommodations,Cambridge,"Frost St and Roseland St, Cambridge, MA 02140",13,NA,4,57,23,23,4,2,1,https://www.tripadvisor.com/Hotel_Review-g60890-d1207321-Reviews-Gray_House_Cambridge_Accommodations-Cambridge_Massachusetts.html,https://www.tripadvisor.com/Hotel_Review-g60890-d1207321-Reviews-Gray_House_Cambridge_Accommodations-Cambridge_Massachusetts.html,3,3
Residence Inn Boston Cambridge,Cambridge,"6 Cambridge Ctr, Cambridge, MA 02142-1401",13,19,4,453,164,193,48,9,5,https://www.tripadvisor.com/Hotel_Review-g60890-d94230-Reviews-Residence_Inn_Boston_Cambridge-Cambridge_Massachusetts.html,https://www.tripadvisor.com/Hotel_Review-g60890-d94230-Reviews-Residence_Inn_Boston_Cambridge-Cambridge_Massachusetts.html,3,221
Avon Hill House,Cambridge,"82 Avon Hill St, Cambridge, MA 02140-3631",14,NA,4,21,11,6,3,0,1,https://www.tripadvisor.com/Hotel_Review-g60890-d624189-Reviews-Avon_Hill_House-Cambridge_Massachusetts.html,https://www.tripadvisor.com/Hotel_Review-g60890-d624189-Reviews-Avon_Hill_House-Cambridge_Massachusetts.html,3,2
Harvard Square Hotel,Cambridge,"110 Mount Auburn St, Cambridge, MA 02138-5774",14,19,4,811,316,220,164,56,31,https://www.tripadvisor.com/Hotel_Review-g60890-d94229-Reviews-Harvard_Square_Hotel-Cambridge_Massachusetts.html,https://www.tripadvisor.com/Hotel_Review-g60890-d94229-Reviews-Harvard_Square_Hotel-Cambridge_Massachusetts.html,3,73
A Friendly Inn at Harvard Square,Cambridge,"1673 Cambridge St, Cambridge, MA 02138-4316",15,NA,3.5,111,14,40,24,14,10,https://www.tripadvisor.com/Hotel_Review-g60890-d123187-Reviews-A_Friendly_Inn_at_Harvard_Square-Cambridge_Massachusetts.html,https://www.tripadvisor.com/Hotel_Review-g60890-d123187-Reviews-A_Friendly_Inn_at_Harvard_Square-Cambridge_Massachusetts.html,3,17
Freepoint Hotel,Cambridge,"220 Alewife Brook Pkwy, Cambridge, MA 02138-1102",15,19,4.5,69,36,17,8,3,1,https://www.tripadvisor.com/Hotel_Review-g60890-d77606-Reviews-Freepoint_Hotel-Cambridge_Massachusetts.html,https://www.tripadvisor.com/Hotel_Review-g60890-d77606-Reviews-Freepoint_Hotel-Cambridge_Massachusetts.html,4,121
Evolve Watermark Apartments,Cambridge,"350 3rd St, Cambridge, MA 02142-1136",16,NA,3.5,6,1,3,0,0,1,https://www.tripadvisor.com/Hotel_Review-g60890-d10021857-Reviews-Evolve_Watermark_Apartments-Cambridge_Massachusetts.html,https://www.tripadvisor.com/Hotel_Review-g60890-d10021857-Reviews-Evolve_Watermark_Apartments-Cambridge_Massachusetts.html,4,
Porter Square Hotel,Cambridge,"1924 Massachusetts Ave, Cambridge, MA 02140-2102",16,19,4,89,43,26,9,5,1,https://www.tripadvisor.com/Hotel_Review-g60890-d8447793-Reviews-Porter_Square_Hotel-Cambridge_Massachusetts.html,https://www.tripadvisor.com/Hotel_Review-g60890-d8447793-Reviews-Porter_Square_Hotel-Cambridge_Massachusetts.html,4,65
Courtyard Boston Cambridge,Cambridge,"777 Memorial Dr, Cambridge, MA 02139-4614",17,19,4,265,68,93,68,13,7,https://www.tripadvisor.com/Hotel_Review-g60890-d1026370-Reviews-Courtyard_Boston_Cambridge-Cambridge_Massachusetts.html,https://www.tripadvisor.com/Hotel_Review-g60890-d1026370-Reviews-Courtyard_Boston_Cambridge-Cambridge_Massachusetts.html,4,207
Antrim House Guesthouse,Cambridge,"16 Antrim St, Cambridge, MA 02139-1102",17,NA,4.5,2,1,1,0,0,0,https://www.tripadvisor.com/Hotel_Review-g60890-d1206819-Reviews-Antrim_House_Guesthouse-Cambridge_Massachusetts.html,https://www.tripadvisor.com/Hotel_Review-g60890-d1206819-Reviews-Antrim_House_Guesthouse-Cambridge_Massachusetts.html,4,3
A Bed & Breakfast in Cambridge,Cambridge,"1657 Cambridge Street, Cambridge, MA 02138",18,NA,4,43,21,8,3,5,5,https://www.tripadvisor.com/Hotel_Review-g60890-d208226-Reviews-A_Bed_Breakfast_in_Cambridge-Cambridge_Massachusetts.html,https://www.tripadvisor.com/Hotel_Review-g60890-d208226-Reviews-A_Bed_Breakfast_in_Cambridge-Cambridge_Massachusetts.html,4,3
Holiday Inn Express & Suites Boston - Cambridge,Cambridge,"250 Monsignor Obrien Hwy, Cambridge, MA 02141-1251",18,19,4,564,140,208,82,37,10,https://www.tripadvisor.com/Hotel_Review-g60890-d94234-Reviews-Holiday_Inn_Express_Suites_Boston_Cambridge-Cambridge_Massachusetts.html,https://www.tripadvisor.com/Hotel_Review-g60890-d94234-Reviews-Holiday_Inn_Express_Suites_Boston_Cambridge-Cambridge_Massachusetts.html,4,112
Amory Guest House,Cambridge,"62 Amory St, Cambridge, MA 02139-1202",19,NA,3.5,18,5,1,5,3,0,https://www.tripadvisor.com/Hotel_Review-g60890-d8035401-Reviews-Amory_Guest_House-Cambridge_Massachusetts.html,https://www.tripadvisor.com/Hotel_Review-g60890-d8035401-Reviews-Amory_Guest_House-Cambridge_Massachusetts.html,4,10
Guest House Motel,Chicago,"2600 W Bryn Mawr Ave, Chicago, IL 60659-4920",164,191,2,3,0,1,0,0,2,https://www.tripadvisor.com/Hotel_Review-g35805-d123235-Reviews-Guest_House_Motel-Chicago_Illinois.html,https://www.tripadvisor.com/Hotel_Review-g35805-d123235-Reviews-Guest_House_Motel-Chicago_Illinois.html,4,37
Bellwood Hotel,Chicago,"1409 W Diversey Pkwy, Chicago, IL 60614-1111",165,191,2.5,15,3,3,1,1,7,https://www.tripadvisor.com/Hotel_Review-g35805-d123316-Reviews-Bellwood_Hotel-Chicago_Illinois.html,https://www.tripadvisor.com/Hotel_Review-g35805-d123316-Reviews-Bellwood_Hotel-Chicago_Illinois.html,4,65
Amber Inn,Chicago,"3901 S Michigan Ave, Chicago, IL 60653-2105",166,191,3,75,17,18,10,10,13,https://www.tripadvisor.com/Hotel_Review-g35805-d290675-Reviews-Amber_Inn-Chicago_Illinois.html,https://www.tripadvisor.com/Hotel_Review-g35805-d290675-Reviews-Amber_Inn-Chicago_Illinois.html,4,115
River Park Motel & Suites,Chicago,"6060 N Lincoln Ave, Chicago, IL 60659-2411",167,191,2.5,3,0,1,0,2,0,https://www.tripadvisor.com/Hotel_Review-g35805-d676721-Reviews-River_Park_Motel_Suites-Chicago_Illinois.html,https://www.tripadvisor.com/Hotel_Review-g35805-d676721-Reviews-River_Park_Motel_Suites-Chicago_Illinois.html,4,27
Summit Motel,Chicago,"5308 N Lincoln Ave, Chicago, IL 60625-2308",168,191,2,1,0,0,0,1,0,https://www.tripadvisor.com/Hotel_Review-g35805-d123214-Reviews-Summit_Motel-Chicago_Illinois.html,https://www.tripadvisor.com/Hotel_Review-g35805-d123214-Reviews-Summit_Motel-Chicago_Illinois.html,4,45
Mark Twain Hotel,Chicago,"111 W Division St, Chicago, IL 60610-1909",169,191,2.5,7,2,1,0,1,2,https://www.tripadvisor.com/Hotel_Review-g35805-d123293-Reviews-Mark_Twain_Hotel-Chicago_Illinois.html,https://www.tripadvisor.com/Hotel_Review-g35805-d123293-Reviews-Mark_Twain_Hotel-Chicago_Illinois.html,4,159
Patio Motel,Chicago,"6250 N. Lincoln Ave, Chicago, IL 60659",170,191,2.5,4,1,0,0,1,1,https://www.tripadvisor.com/Hotel_Review-g35805-d123224-Reviews-Patio_Motel-Chicago_Illinois.html,https://www.tripadvisor.com/Hotel_Review-g35805-d123224-Reviews-Patio_Motel-Chicago_Illinois.html,4,30
Belair Hotel,Chicago,"424 W Diversey Pkwy, Chicago, IL 60614-8401",171,191,2.5,13,1,1,4,3,4,https://www.tripadvisor.com/Hotel_Review-g35805-d123317-Reviews-Belair_Hotel-Chicago_Illinois.html,https://www.tripadvisor.com/Hotel_Review-g35805-d123317-Reviews-Belair_Hotel-Chicago_Illinois.html,4,25
Milshire Hotel,Chicago,"2525 N Milwaukee Ave, Chicago, IL 60647-2629",172,191,1.5,12,0,0,2,1,7,https://www.tripadvisor.com/Hotel_Review-g35805-d123292-Reviews-Milshire_Hotel-Chicago_Illinois.html,https://www.tripadvisor.com/Hotel_Review-g35805-d123292-Reviews-Milshire_Hotel-Chicago_Illinois.html,4,78
Skylark Motel,Chicago,"5435 S Archer Ave, Chicago, IL 60638-3001",174,191,1.5,12,0,0,1,1,10,https://www.tripadvisor.com/Hotel_Review-g35805-d123216-Reviews-Skylark_Motel-Chicago_Illinois.html,https://www.tripadvisor.com/Hotel_Review-g35805-d123216-Reviews-Skylark_Motel-Chicago_Illinois.html,4,54
North Hotel,Chicago,"1622 N California Ave, Chicago, IL 60647-5102",175,191,1,1,0,0,0,0,1,https://www.tripadvisor.com/Hotel_Review-g35805-d123289-Reviews-North_Hotel-Chicago_Illinois.html,https://www.tripadvisor.com/Hotel_Review-g35805-d123289-Reviews-North_Hotel-Chicago_Illinois.html,4,66
Hogan's Motel,Chicago,"8903 S Ashland Ave, Chicago, IL 60620-4953",176,191,1,1,0,0,0,0,1,https://www.tripadvisor.com/Hotel_Review-g35805-d123232-Reviews-Hogan_s_Motel-Chicago_Illinois.html,https://www.tripadvisor.com/Hotel_Review-g35805-d123232-Reviews-Hogan_s_Motel-Chicago_Illinois.html,4,30
Lincoln Motel,Chicago,"5900 N Lincoln Ave, Chicago, IL 60659-3703",177,191,1,2,0,0,0,0,2,https://www.tripadvisor.com/Hotel_Review-g35805-d123230-Reviews-Lincoln_Motel-Chicago_Illinois.html,https://www.tripadvisor.com/Hotel_Review-g35805-d123230-Reviews-Lincoln_Motel-Chicago_Illinois.html,4,36
Marshall Hotel,Chicago,"1232 N La Salle Dr, Chicago, IL 60610-1913",178,191,1,1,0,0,0,0,1,https://www.tripadvisor.com/Hotel_Review-g35805-d123229-Reviews-Marshall_Hotel-Chicago_Illinois.html,https://www.tripadvisor.com/Hotel_Review-g35805-d123229-Reviews-Marshall_Hotel-Chicago_Illinois.html,4,200
Stan Properties Suites at 300 N. Canal,Chicago,"300 N. Canal Street, Chicago, IL 60654",179,191,1,1,0,0,0,0,1,https://www.tripadvisor.com/Hotel_Review-g35805-d774987-Reviews-Stan_Properties_Suites_at_300_N_Canal-Chicago_Illinois.html,https://www.tripadvisor.com/Hotel_Review-g35805-d774987-Reviews-Stan_Properties_Suites_at_300_N_Canal-Chicago_Illinois.html,4,30
Ramada Inn Countryside Clearwater,Clearwater,"2061 Gulf To Bay Blvd, Clearwater, FL 33765-3711",76,98,2,16,0,3,1,3,9,https://www.tripadvisor.com/Hotel_Review-g34141-d141955-Reviews-Ramada_Inn_Countryside_Clearwater-Clearwater_Florida.html,https://www.tripadvisor.com/Hotel_Review-g34141-d141955-Reviews-Ramada_Inn_Countryside_Clearwater-Clearwater_Florida.html,4,125
InTown Suites Clearwater,Clearwater,"2833 Roosevelt Blvd, Clearwater, FL 33760-1924",77,98,2.5,9,0,2,3,1,3,https://www.tripadvisor.com/Hotel_Review-g34141-d1418956-Reviews-InTown_Suites_Clearwater-Clearwater_Florida.html,https://www.tripadvisor.com/Hotel_Review-g34141-d1418956-Reviews-InTown_Suites_Clearwater-Clearwater_Florida.html,4,121
Howard Johnson Inn and Suites Clearwater FL,Clearwater,"27988 US Highway 19 N, Clearwater, FL 33712",78,98,3,337,44,90,85,52,62,https://www.tripadvisor.com/Hotel_Review-g34141-d487979-Reviews-Howard_Johnson_Inn_and_Suites_Clearwater_FL-Clearwater_Florida.html,https://www.tripadvisor.com/Hotel_Review-g34141-d487979-Reviews-Howard_Johnson_Inn_and_Suites_Clearwater_FL-Clearwater_Florida.html,4,73
Extended Stay America - St. Petersburg - Clearwater - Executive Dr.,Clearwater,"3089 Executive Dr, Clearwater, FL 33762-5508",79,98,3,92,22,16,13,12,27,https://www.tripadvisor.com/Hotel_Review-g34141-d86220-Reviews-Extended_Stay_America_St_Petersburg_Clearwater_Executive_Dr-Clearwater_Florida.html,https://www.tripadvisor.com/Hotel_Review-g34141-d86220-Reviews-Extended_Stay_America_St_Petersburg_Clearwater_Executive_Dr-Clearwater_Florida.html,4,104
Super 8 Clearwater/St. Petersburg Airport,Clearwater,"13260 34th St N, Clearwater, FL 33762-4252",80,98,3,572,91,119,107,98,141,https://www.tripadvisor.com/Hotel_Review-g34141-d84269-Reviews-Super_8_Clearwater_St_Petersburg_Airport-Clearwater_Florida.html,https://www.tripadvisor.com/Hotel_Review-g34141-d84269-Reviews-Super_8_Clearwater_St_Petersburg_Airport-Clearwater_Florida.html,4,72
Extended Stay America - St. Petersburg - Carillon Park,Clearwater,"2311 Ulmerton Rd, Clearwater, FL 33762-3372",81,98,3,171,48,23,26,31,38,https://www.tripadvisor.com/Hotel_Review-g34141-d120461-Reviews-Extended_Stay_America_St_Petersburg_Carillon_Park-Clearwater_Florida.html,https://www.tripadvisor.com/Hotel_Review-g34141-d120461-Reviews-Extended_Stay_America_St_Petersburg_Carillon_Park-Clearwater_Florida.html,4,113
Ramada Limited Clearwater Hotel and Suites,Clearwater,"2061 Gulf To Bay Blvd, Clearwater, FL 33765-3711",82,98,2.5,322,32,66,62,65,95,https://www.tripadvisor.com/Hotel_Review-g34141-d141956-Reviews-Ramada_Limited_Clearwater_Hotel_and_Suites-Clearwater_Florida.html,https://www.tripadvisor.com/Hotel_Review-g34141-d141956-Reviews-Ramada_Limited_Clearwater_Hotel_and_Suites-Clearwater_Florida.html,4,45
Quality Inn & Suites Clearwater,Clearwater,"3655 Hospitality Ln, Clearwater, FL 33762-3802",83,98,2.5,196,33,35,33,19,70,https://www.tripadvisor.com/Hotel_Review-g34141-d86193-Reviews-Quality_Inn_Suites_Clearwater-Clearwater_Florida.html,https://www.tripadvisor.com/Hotel_Review-g34141-d86193-Reviews-Quality_Inn_Suites_Clearwater-Clearwater_Florida.html,4,117
New Yorker Motel,Clearwater,"332 Hamden Drive, Clearwater, FL 33767",84,98,3,41,9,8,1,3,15,https://www.tripadvisor.com/Hotel_Review-g34141-d2433931-Reviews-New_Yorker_Motel-Clearwater_Florida.html,https://www.tripadvisor.com/Hotel_Review-g34141-d2433931-Reviews-New_Yorker_Motel-Clearwater_Florida.html,4,16
Traveler Motel,Clearwater,"408 E Shore Dr, Clearwater, FL 33767-2027",85,98,3.5,68,29,15,3,4,16,https://www.tripadvisor.com/Hotel_Review-g34141-d1068429-Reviews-Traveler_Motel-Clearwater_Florida.html,https://www.tripadvisor.com/Hotel_Review-g34141-d1068429-Reviews-Traveler_Motel-Clearwater_Florida.html,4,13
