title,City,full_address,rank_in_city,total_in_rank_list,overall_rating,count_of_reviews,Excellet_count,VGood_count,Average_count,Poor_count,Terrible_count,full_link,rank_quartile
Days Inn Clearwater/Central,Clearwater,"2940 Gulf To Bay Blvd, Clearwater, FL 33759-4222",60,98,3,575,93,147,162,90,64,https://www.tripadvisor.com/Hotel_Review-g34141-d84238-Reviews-Days_Inn_Clearwater_Central-Clearwater_Florida.html,3
AKA Rittenhouse Square,Philadelphia,"135 S 18th St, Philadelphia, PA 19103-5228",60,89,4.5,131,81,25,5,7,4,https://www.tripadvisor.com/Hotel_Review-g60795-d662409-Reviews-AKA_Rittenhouse_Square-Philadelphia_Pennsylvania.html,3
Candlewood Suites Clearwater,Clearwater,"13231 49th St N, Clearwater, FL 33762-4015",61,98,3.5,205,53,62,36,15,26,https://www.tripadvisor.com/Hotel_Review-g34141-d86239-Reviews-Candlewood_Suites_Clearwater-Clearwater_Florida.html,3
Conwell Inn,Philadelphia,"1331 Polett Walk, Philadelphia, PA 19122",61,89,4,212,53,67,31,12,10,https://www.tripadvisor.com/Hotel_Review-g60795-d225275-Reviews-Conwell_Inn-Philadelphia_Pennsylvania.html,3
Magnuson Hotel Clearwater Central,Clearwater,"21252 US Highway 19 N, Clearwater, FL 33765-2826",62,98,3.5,599,146,187,102,58,46,https://www.tripadvisor.com/Hotel_Review-g34141-d84243-Reviews-Magnuson_Hotel_Clearwater_Central-Clearwater_Florida.html,3
Best Western Plus Philadelphia Convention Center Hotel,Philadelphia,"1225 Vine St, Philadelphia, PA 19107-1116",62,89,3.5,134,44,33,21,12,9,https://www.tripadvisor.com/Hotel_Review-g60795-d11955399-Reviews-Best_Western_Plus_Philadelphia_Convention_Center_Hotel-Philadelphia_Pennsylvania.html,3
Sheraton Suites Philadelphia Airport,Philadelphia,"4101B Island Ave, Philadelphia, PA 19153-3226",63,89,4,16,7,4,2,2,0,https://www.tripadvisor.com/Hotel_Review-g60795-d220058-Reviews-Sheraton_Suites_Philadelphia_Airport-Philadelphia_Pennsylvania.html,3
Magnuson Hotel Clearwater Beach,Clearwater,"421 S Gulfview Blvd, Clearwater, FL 33767-2508",64,98,3.5,388,99,91,89,24,35,https://www.tripadvisor.com/Hotel_Review-g34141-d84271-Reviews-Magnuson_Hotel_Clearwater_Beach-Clearwater_Florida.html,3
Renaissance Philadelphia Airport Hotel,Philadelphia,"500 Stevens Dr, Philadelphia, PA 19113-1610",64,89,3.5,741,147,235,162,115,71,https://www.tripadvisor.com/Hotel_Review-g60795-d96721-Reviews-Renaissance_Philadelphia_Airport_Hotel-Philadelphia_Pennsylvania.html,3
Four Points by Sheraton Philadelphia City Center,Philadelphia,"1201 Race St, Philadelphia, PA 19107-1617",65,89,3.5,492,104,161,95,52,30,https://www.tripadvisor.com/Hotel_Review-g60795-d1176615-Reviews-Four_Points_by_Sheraton_Philadelphia_City_Center-Philadelphia_Pennsylvania.html,3
Delux Inn,Clearwater,"1735 Gulf To Bay Blvd, Clearwater, FL 33755-6503",66,98,3.5,23,8,4,1,0,5,https://www.tripadvisor.com/Hotel_Review-g34141-d4134608-Reviews-Delux_Inn-Clearwater_Florida.html,3
Holiday Inn Philadelphia Stadium,Philadelphia,"900 Packer Ave, Philadelphia, PA 19148-5383",66,89,3.5,799,191,260,159,75,82,https://www.tripadvisor.com/Hotel_Review-g60795-d102519-Reviews-Holiday_Inn_Philadelphia_Stadium-Philadelphia_Pennsylvania.html,3
La Quinta Inn & Suites Clearwater South,Clearwater,"5000 Lake Blvd, Clearwater, FL 33760-5000",67,98,3.5,323,115,76,51,37,28,https://www.tripadvisor.com/Hotel_Review-g34141-d86206-Reviews-La_Quinta_Inn_Suites_Clearwater_South-Clearwater_Florida.html,4
Crowne Plaza Philadelphia West,Philadelphia,"4010 City Ave, Philadelphia, PA 19131-1702",67,89,3.5,575,119,182,127,57,46,https://www.tripadvisor.com/Hotel_Review-g60795-d96698-Reviews-Crowne_Plaza_Philadelphia_West-Philadelphia_Pennsylvania.html,3
Holiday Inn Express Hotel & Suites Clearwater / US 19N,Clearwater,"2580 Gulf To Bay Boulevard, Clearwater, FL 33765-4411",68,98,3.5,229,60,68,44,26,23,https://www.tripadvisor.com/Hotel_Review-g34141-d570161-Reviews-Holiday_Inn_Express_Hotel_Suites_Clearwater_US_19N-Clearwater_Florida.html,4
Red Roof Inn Clearwater Airport,Clearwater,"3580 Ulmerton Rd, Clearwater, FL 33762-4202",69,98,3,64,18,16,7,8,13,https://www.tripadvisor.com/Hotel_Review-g34141-d3595289-Reviews-Red_Roof_Inn_Clearwater_Airport-Clearwater_Florida.html,4
Staybridge Suites Seattle - Fremont,Seattle,"3926 Aurora Ave N, Seattle, WA 98103-7802",69,105,4,123,56,42,7,6,7,https://www.tripadvisor.com/Hotel_Review-g60878-d6610266-Reviews-Staybridge_Suites_Seattle_Fremont-Seattle_Washington.html,3
Clearwater Beach Hotel Suites,Clearwater,"455 S Gulfview Blvd, Clearwater, FL 33767-2508",70,98,3.5,29,2,11,7,2,3,https://www.tripadvisor.com/Hotel_Review-g34141-d88505-Reviews-Clearwater_Beach_Hotel_Suites-Clearwater_Florida.html,4
Holiday Inn Express Hotel & Suites North Seattle - Shoreline,Seattle,"14115 Aurora Ave N, Seattle, WA 98133-6942",70,105,4,298,81,117,48,21,6,https://www.tripadvisor.com/Hotel_Review-g60878-d223217-Reviews-Holiday_Inn_Express_Hotel_Suites_North_Seattle_Shoreline-Seattle_Washington.html,3
GulfView Hotel - On The Beach,Clearwater,"625 S Gulfview Blvd, Clearwater, FL 33767-2643",71,98,3,343,59,83,62,38,72,https://www.tripadvisor.com/Hotel_Review-g34141-d86165-Reviews-GulfView_Hotel_On_The_Beach-Clearwater_Florida.html,4
Hotel Theodore,Seattle,"1531 7th Ave, Seattle, WA 98101-1703",71,105,4.5,37,16,12,2,3,1,https://www.tripadvisor.com/Hotel_Review-g60878-d100589-Reviews-Hotel_Theodore-Seattle_Washington.html,3
Quality Inn,Clearwater,"20162 US Highway 19 N, Clearwater, FL 33764-5008",72,98,3.5,142,42,52,14,13,13,https://www.tripadvisor.com/Hotel_Review-g34141-d84267-Reviews-Quality_Inn-Clearwater_Florida.html,4
Residence Inn Seattle Downtown / Convention Center,Seattle,"1815 Terry Ave, Seattle, WA 98101-2403",72,105,5,9,8,1,0,0,0,https://www.tripadvisor.com/Hotel_Review-g60878-d12970371-Reviews-Residence_Inn_Seattle_Downtown_Convention_Center-Seattle_Washington.html,3
Patio Palms of Clearwater,Clearwater,"1295 Cleveland St, Clearwater, FL 33755-4912",73,98,3.5,3,1,1,0,0,1,https://www.tripadvisor.com/Hotel_Review-g34141-d84255-Reviews-Patio_Palms_of_Clearwater-Clearwater_Florida.html,4
Comfort Inn & Suites Seattle,Seattle,"13700 Aurora Ave N, Seattle, WA 98133-6913",73,105,3.5,286,56,88,73,30,29,https://www.tripadvisor.com/Hotel_Review-g60878-d72598-Reviews-Comfort_Inn_Suites_Seattle-Seattle_Washington.html,3
Gulfway Inn,Clearwater,"2275 Gulf To Bay Blvd, Clearwater, FL 33765-4002",74,98,3.5,75,31,13,10,10,7,https://www.tripadvisor.com/Hotel_Review-g34141-d506437-Reviews-Gulfway_Inn-Clearwater_Florida.html,4
La Quinta Inn & Suites Miami Airport West,Miami,"8730 NW 27th St, Miami, FL 33172-1612",74,128,3.5,761,90,165,97,51,36,https://www.tripadvisor.com/Hotel_Review-g34438-d87067-Reviews-La_Quinta_Inn_Suites_Miami_Airport_West-Miami_Florida.html,3
University Motel Suites,Seattle,"4731 12th Ave NE, Seattle, WA 98105-4401",74,105,4,81,20,42,6,6,1,https://www.tripadvisor.com/Hotel_Review-g60878-d123013-Reviews-University_Motel_Suites-Seattle_Washington.html,3
Castaways Motel,Clearwater,"139 Brightwater Dr, Clearwater, FL 33767-2402",75,98,3.5,25,7,11,0,2,5,https://www.tripadvisor.com/Hotel_Review-g34141-d548187-Reviews-Castaways_Motel-Clearwater_Florida.html,4
SpringHill Suites Miami Doral,Miami,"3895 NW 107th Ave, Miami, FL 33178-4292",75,128,4.5,17,6,6,0,0,0,https://www.tripadvisor.com/Hotel_Review-g34438-d12285436-Reviews-SpringHill_Suites_Miami_Doral-Miami_Florida.html,3
TownePlace Suites Miami Airport,Miami,"4021 NW 11th St, Miami, FL 33126-3672",76,128,4.5,23,13,5,0,0,2,https://www.tripadvisor.com/Hotel_Review-g34438-d11638379-Reviews-TownePlace_Suites_Miami_Airport-Miami_Florida.html,3
Shalimar Motel,Miami,"6200 Biscayne Blvd, Miami, FL 33138-6224",77,128,3.5,303,23,60,33,18,14,https://www.tripadvisor.com/Hotel_Review-g34438-d2531257-Reviews-Shalimar_Motel-Miami_Florida.html,3
Inn at Virginia Mason,Seattle,"1006 Spring St, Seattle, WA 98104-1216",77,105,3.5,249,40,104,55,26,11,https://www.tripadvisor.com/Hotel_Review-g60878-d100538-Reviews-Inn_at_Virginia_Mason-Seattle_Washington.html,3
Miccosukee Resort & Gaming,Miami,"500 SW 177 Ave., Miami, FL 33194-2800",78,128,3.5,367,57,61,67,30,42,https://www.tripadvisor.com/Hotel_Review-g34438-d87066-Reviews-Miccosukee_Resort_Gaming-Miami_Florida.html,3
Baroness Hotel,Seattle,"1005 Spring St, Seattle, WA 98104-1235",78,105,3.5,107,6,42,32,11,9,https://www.tripadvisor.com/Hotel_Review-g60878-d1130160-Reviews-Baroness_Hotel-Seattle_Washington.html,3
WoodSpring Suites Miami Southwest,Miami,"16055 SW 117th Ave, Miami, FL 33177-1609",79,128,4.5,13,7,0,0,0,1,https://www.tripadvisor.com/Hotel_Review-g34438-d12351514-Reviews-WoodSpring_Suites_Miami_Southwest-Miami_Florida.html,3
University Plaza Hotel,Seattle,"400 NE 45th St, Seattle, WA 98105-6157",79,105,5,2,2,0,0,0,0,https://www.tripadvisor.com/Hotel_Review-g60878-d639072-Reviews-University_Plaza_Hotel-Seattle_Washington.html,3
Extended Stay America - Miami - Brickell - Port of Miami,Miami,"298 SW 15th Rd, Miami, FL 33129-1122",81,128,3.5,152,40,24,16,9,16,https://www.tripadvisor.com/Hotel_Review-g34438-d224868-Reviews-Extended_Stay_America_Miami_Brickell_Port_of_Miami-Miami_Florida.html,3
Lenora Street Apartment by Stay Alfred,Seattle,"2121 6th Ave, Seattle, WA 98121-2933",81,105,4.5,3,1,0,1,0,0,https://www.tripadvisor.com/Hotel_Review-g60878-d11700963-Reviews-Lenora_Street_Apartment_by_Stay_Alfred-Seattle_Washington.html,3
Holiday Inn Miami 79th Street,Miami,"7927 NW 7th Ave, Miami, FL 33150-3103",82,128,4.5,8,4,3,0,0,0,https://www.tripadvisor.com/Hotel_Review-g34438-d10189875-Reviews-Holiday_Inn_Miami_79th_Street-Miami_Florida.html,3
Palmeiras Beach Club at Grove Isle,Miami,"4 Grove Isle Dr, Miami, FL 33133-4125",83,128,3.5,411,145,93,59,42,46,https://www.tripadvisor.com/Hotel_Review-g34438-d84993-Reviews-Palmeiras_Beach_Club_at_Grove_Isle-Miami_Florida.html,3
Motel 6 Miami,Miami,"7330 NW 36th St, Miami, FL 33166-6705",84,128,3,137,12,12,18,2,16,https://www.tripadvisor.com/Hotel_Review-g34438-d85195-Reviews-Motel_6_Miami-Miami_Florida.html,3
New Yorker Boutique Hotel,Miami,"6500 Biscayne Blvd, Miami, FL 33138-6230",85,128,3.5,964,108,154,94,55,64,https://www.tripadvisor.com/Hotel_Review-g34438-d1758216-Reviews-New_Yorker_Boutique_Hotel-Miami_Florida.html,3
King Motel,Miami,"7150 Biscayne Blvd, Miami, FL 33138-5702",86,128,3.5,43,9,9,9,0,2,https://www.tripadvisor.com/Hotel_Review-g34438-d2220062-Reviews-King_Motel-Miami_Florida.html,3
Bayside Motor Inn,Miami,"5101 Biscayne Blvd, Miami, FL 33137-3219",88,128,3.5,3,0,0,0,0,1,https://www.tripadvisor.com/Hotel_Review-g34438-d2235315-Reviews-Bayside_Motor_Inn-Miami_Florida.html,3
Extended Stay America - Miami - Airport - Blue Lagoon,Miami,"6605 NW 7th St, Miami, FL 33126-4400",89,128,3,214,25,24,25,22,27,https://www.tripadvisor.com/Hotel_Review-g34438-d217398-Reviews-Extended_Stay_America_Miami_Airport_Blue_Lagoon-Miami_Florida.html,3
Miami Airport Inn,Miami,"1550 S Le Jeune Rd, Miami, FL 33134-3835",90,128,3.5,30,3,1,2,3,3,https://www.tripadvisor.com/Hotel_Review-g34438-d581296-Reviews-Miami_Airport_Inn-Miami_Florida.html,3
Sunnyside Motel,Miami,"6024 SW 8th St, Miami, FL 33144-5069",91,128,3.5,19,2,3,0,2,1,https://www.tripadvisor.com/Hotel_Review-g34438-d654223-Reviews-Sunnyside_Motel-Miami_Florida.html,3
TownePlace Suites Miami Lakes,Miami,"8079 NW 154 Street, Miami, FL 33016-5868",92,128,3.5,191,31,39,33,26,23,https://www.tripadvisor.com/Hotel_Review-g34438-d87122-Reviews-TownePlace_Suites_Miami_Lakes-Miami_Florida.html,3
National at Valencia Doral,Miami,"10000 NW 45th Ter, Miami, FL 33178-3300",93,128,3,1,0,0,1,0,0,https://www.tripadvisor.com/Hotel_Review-g34438-d1147235-Reviews-National_at_Valencia_Doral-Miami_Florida.html,4
South Pacific Motel,Miami,"6300 Biscayne Blvd, Miami, FL 33138-6226",94,128,3,1,0,0,1,0,0,https://www.tripadvisor.com/Hotel_Review-g34438-d1633632-Reviews-South_Pacific_Motel-Miami_Florida.html,4
Quality Inn Miami Airport,Miami,"3959 NW 79th Ave, Miami, FL 33166-6517",95,128,3,896,27,81,83,49,72,https://www.tripadvisor.com/Hotel_Review-g34438-d120432-Reviews-Quality_Inn_Miami_Airport-Miami_Florida.html,4
The Henley Park Hotel,Washington,"926 Massachusetts Ave NW, Washington DC, DC 20001",100,141,4,826,267,309,105,37,30,https://www.tripadvisor.com/Hotel_Review-g28970-d84069-Reviews-The_Henley_Park_Hotel-Washington_DC_District_of_Columbia.html,3
The St. Gregory Hotel,Washington,"2033 M St NW, Washington DC, DC 20036-3301",101,141,4,201,90,51,21,12,3,https://www.tripadvisor.com/Hotel_Review-g28970-d220076-Reviews-The_St_Gregory_Hotel-Washington_DC_District_of_Columbia.html,3
"Residence Inn Washington, DC Downtown",Washington,"1199 Vermont Ave NW, Washington DC, DC 20005-3519",102,141,4.5,221,79,72,20,4,5,https://www.tripadvisor.com/Hotel_Review-g28970-d223900-Reviews-Residence_Inn_Washington_DC_Downtown-Washington_DC_District_of_Columbia.html,3
Hyatt House Washington DC/The Wharf,Washington,"725 Wharf St SW, Washington DC, DC 20024-3433",103,141,4.5,92,54,20,9,3,3,https://www.tripadvisor.com/Hotel_Review-g28970-d12912835-Reviews-Hyatt_House_Washington_DC_The_Wharf-Washington_DC_District_of_Columbia.html,3
Belcaro Motel,Denver,"1025 S Colorado Blvd., Denver, CO 80246",103,161,3,31,4,9,6,3,4,https://www.tripadvisor.com/Hotel_Review-g33388-d119997-Reviews-Belcaro_Motel-Denver_Colorado.html,3
Hampton Inn Washington DC NoMa Union Station,Washington,"501 New York Ave NE, Washington DC, DC 20001-4628",104,141,4,254,133,63,19,10,18,https://www.tripadvisor.com/Hotel_Review-g28970-d123837-Reviews-Hampton_Inn_Washington_DC_NoMa_Union_Station-Washington_DC_District_of_Columbia.html,3
Quality Inn & Suites Denver Stapleton,Denver,"3737 Quebec Street, Denver, CO 80207",104,161,3.5,660,158,161,113,87,83,https://www.tripadvisor.com/Hotel_Review-g33388-d83072-Reviews-Quality_Inn_Suites_Denver_Stapleton-Denver_Colorado.html,3
Canopy by Hilton Washington DC The Wharf,Washington,"975 7th St SW, Washington DC, DC 20024-3437",105,141,4.5,88,58,17,2,7,3,https://www.tripadvisor.com/Hotel_Review-g28970-d12492938-Reviews-Canopy_by_Hilton_Washington_DC_The_Wharf-Washington_DC_District_of_Columbia.html,3
11th Avenue Hotel & Hostel,Denver,"1112 Broadway, Denver, CO 80203-2107",105,161,3,171,18,37,34,29,29,https://www.tripadvisor.com/Hotel_Review-g33388-d119914-Reviews-11th_Avenue_Hotel_Hostel-Denver_Colorado.html,3
Red Pine Motel,Denver,"1572 S Broadway, Denver, CO 80210-2608",106,161,2.5,3,0,0,1,0,1,https://www.tripadvisor.com/Hotel_Review-g33388-d119917-Reviews-Red_Pine_Motel-Denver_Colorado.html,3
Tabard Inn,Washington,"1739 N Street NW, Washington DC, DC 20036-2801",108,141,4,372,153,98,47,35,20,https://www.tripadvisor.com/Hotel_Review-g28970-d120592-Reviews-Tabard_Inn-Washington_DC_District_of_Columbia.html,3
Days Inn Denver Downtown,Denver,"930 E Colfax Ave, Denver, CO 80218-1915",108,161,2.5,449,30,70,142,95,89,https://www.tripadvisor.com/Hotel_Review-g33388-d1176784-Reviews-Days_Inn_Denver_Downtown-Denver_Colorado.html,3
Hotel RL Washington DC by Red Lion,Washington,"1823 L St NW, Washington DC, DC 20036-3832",109,141,4,343,139,81,45,26,14,https://www.tripadvisor.com/Hotel_Review-g28970-d84080-Reviews-Hotel_RL_Washington_DC_by_Red_Lion-Washington_DC_District_of_Columbia.html,3
Residence Inn Washington Capitol Hill Navy Yard,Washington,"1233 1st St SE, Washington DC, DC 20003-3501",110,141,4.5,71,40,20,6,1,2,https://www.tripadvisor.com/Hotel_Review-g28970-d12072048-Reviews-Residence_Inn_Washington_Capitol_Hill_Navy_Yard-Washington_DC_District_of_Columbia.html,3
The Timbers Hotel,Denver,"4411 Peoria St, Denver, CO 80239-4817",110,161,3,345,89,77,55,41,78,https://www.tripadvisor.com/Hotel_Review-g33388-d81023-Reviews-The_Timbers_Hotel-Denver_Colorado.html,3
Village Motel,Tampa,"4100 E Hillsborough Ave, Tampa, FL 33610",110,164,4,1,0,1,0,0,0,https://www.tripadvisor.com/Hotel_Review-g34678-d120494-Reviews-Village_Motel-Tampa_Florida.html,3
"Residence Inn Washington, Dc/Dupont Circle",Washington,"2120 P St NW, Washington DC, DC 20037-1009",111,141,4,368,149,140,41,10,6,https://www.tripadvisor.com/Hotel_Review-g28970-d223897-Reviews-Residence_Inn_Washington_Dc_Dupont_Circle-Washington_DC_District_of_Columbia.html,3
Super 8 Denver Central,Denver,"5888 N Broadway, Denver, CO 80216-1025",111,161,2.5,310,33,38,57,65,109,https://www.tripadvisor.com/Hotel_Review-g33388-d119929-Reviews-Super_8_Denver_Central-Denver_Colorado.html,3
Mayflower Motel,Tampa,"7510 N Florida Ave, Tampa, FL 33604-4104",111,164,4,1,0,1,0,0,0,https://www.tripadvisor.com/Hotel_Review-g34678-d120474-Reviews-Mayflower_Motel-Tampa_Florida.html,3
Super 8 Denver Midtown,Denver,"2601 Zuni St, Denver, CO 80211-4806",112,161,2.5,316,24,32,66,78,105,https://www.tripadvisor.com/Hotel_Review-g33388-d671614-Reviews-Super_8_Denver_Midtown-Denver_Colorado.html,3
Amerisuites Busch Gardens Hotel Tampa,Tampa,"11408 N 30th St, Tampa, FL 33612-6446",112,164,4,2,0,2,0,0,0,https://www.tripadvisor.com/Hotel_Review-g34678-d1212945-Reviews-Amerisuites_Busch_Gardens_Hotel_Tampa-Tampa_Florida.html,3
"Marriott Vacation Club Pulse at The Mayflower, Washington, D.C.",Washington,"1127 Connecticut Ave NW Fl 7, Washington DC, DC 20036-4301",113,141,4.5,64,37,13,9,1,0,https://www.tripadvisor.com/Hotel_Review-g28970-d9876857-Reviews-Marriott_Vacation_Club_Pulse_at_The_Mayflower_Washington_D_C-Washington_DC_District_of_.html,3
La Quinta Inn Brandon Hotel,Tampa,"310 Grand Regency Blvd, Tampa, FL 33510-3940",113,164,3.5,9,2,4,1,1,1,https://www.tripadvisor.com/Hotel_Review-g34678-d1223998-Reviews-La_Quinta_Inn_Brandon_Hotel-Tampa_Florida.html,3
"Courtyard Washington, DC/U.S. Capitol",Washington,"1325 2nd St NE, Washington DC, DC 20002-3582",114,141,4,640,144,248,109,30,28,https://www.tripadvisor.com/Hotel_Review-g28970-d1237013-Reviews-Courtyard_Washington_DC_U_S_Capitol-Washington_DC_District_of_Columbia.html,3
La Quinta Inn Denver Central,Denver,"3500 Park Ave West, Denver, CO 80216",114,161,2.5,450,38,86,99,113,99,https://www.tripadvisor.com/Hotel_Review-g33388-d85344-Reviews-La_Quinta_Inn_Denver_Central-Denver_Colorado.html,3
Extended Stay America - Tampa - Airport - Spruce Street,Tampa,"4312 W Spruce St, Tampa, FL 33607-4146",114,164,3.5,114,30,27,20,16,14,https://www.tripadvisor.com/Hotel_Review-g34678-d268188-Reviews-Extended_Stay_America_Tampa_Airport_Spruce_Street-Tampa_Florida.html,4
The LINE Hotel DC,Washington,"1770 Euclid St NW, Washington DC, DC 20009-2836",115,141,4.5,37,29,4,0,1,3,https://www.tripadvisor.com/Hotel_Review-g28970-d11985029-Reviews-The_LINE_Hotel_DC-Washington_DC_District_of_Columbia.html,3
